A,H,Transmitted,Absorbed,Reflected
0.07,7.72,0.0,0.183,0.817
0.07,7.73,0.0,0.167,0.833
0.07,7.74,0.0,0.192,0.808
0.07,7.75,0.0,0.191,0.809
0.07,7.76,0.0,0.175,0.825
0.07,7.77,0.0,0.173,0.827
0.07,7.78,0.0,0.192,0.808
0.07,7.79,0.0,0.166,0.834
0.07,7.8,0.0,0.19,0.81
0.07,7.81,0.0,0.17,0.83
0.07,7.82,0.0,0.209,0.791
0.07,7.83,0.0,0.165,0.835
0.07,7.84,0.0,0.152,0.848
0.07,7.85,0.0,0.211,0.789
0.07,7.86,0.0,0.172,0.828
0.07,7.87,0.0,0.175,0.825
0.07,7.88,0.0,0.194,0.806
0.07,7.89,0.0,0.179,0.821
0.07,7.9,0.0,0.188,0.812
0.07,7.91,0.0,0.196,0.804
0.07,7.92,0.0,0.174,0.826
0.07,7.93,0.0,0.164,0.836
0.07,7.94,0.0,0.187,0.813
0.07,7.95,0.0,0.191,0.809
0.07,7.96,0.0,0.189,0.811
0.07,7.97,0.0,0.169,0.831
0.07,7.98,0.0,0.157,0.843
0.07,7.99,0.0,0.194,0.806
0.07,8.0,0.0,0.197,0.803
0.07,8.01,0.0,0.19,0.81
0.07,8.02,0.0,0.169,0.831
0.07,8.03,0.0,0.179,0.821
0.07,8.04,0.0,0.197,0.803
0.07,8.05,0.001,0.168,0.831
0.07,8.06,0.0,0.181,0.819
0.07,8.07,0.0,0.193,0.807
0.07,8.08,0.0,0.182,0.818
0.07,8.09,0.0,0.184,0.816
0.07,8.1,0.0,0.179,0.821
0.07,8.11,0.0,0.17,0.83
0.07,8.12,0.0,0.168,0.832
0.07,8.13,0.0,0.164,0.836
0.07,8.14,0.0,0.161,0.839
0.07,8.15,0.0,0.176,0.824
0.07,8.16,0.0,0.179,0.821
0.07,8.17,0.0,0.186,0.814
0.07,8.18,0.0,0.181,0.819
0.07,8.19,0.0,0.18,0.82
0.07,8.2,0.0,0.17,0.83
0.07,8.21,0.0,0.179,0.821
0.07,8.22,0.0,0.201,0.799
0.07,8.23,0.0,0.157,0.843
0.07,8.24,0.0,0.152,0.848
0.07,8.25,0.0,0.185,0.815
0.07,8.26,0.0,0.181,0.819
0.07,8.27,0.0,0.187,0.813
0.07,8.28,0.0,0.177,0.823
0.07,8.29,0.0,0.208,0.792
0.07,8.3,0.0,0.182,0.818
0.07,8.31,0.0,0.178,0.822
0.07,8.32,0.0,0.189,0.811
0.07,8.33,0.0,0.183,0.817
0.07,8.34,0.0,0.194,0.806
0.07,8.35,0.0,0.186,0.814
0.07,8.36,0.0,0.181,0.819
0.07,8.37,0.0,0.175,0.825
0.07,8.38,0.0,0.193,0.807
0.07,8.39,0.0,0.186,0.814
0.07,8.4,0.0,0.165,0.835
0.07,8.41,0.0,0.196,0.804
0.07,8.42,0.0,0.181,0.819
0.07,8.43,0.0,0.17,0.83
0.07,8.44,0.0,0.201,0.799
0.07,8.45,0.0,0.186,0.814
0.07,8.46,0.0,0.19,0.81
0.07,8.47,0.0,0.169,0.831
0.07,8.48,0.0,0.191,0.809
0.07,8.49,0.0,0.176,0.824
0.07,8.5,0.0,0.166,0.834
0.07,8.51,0.0,0.194,0.806
0.07,8.52,0.0,0.165,0.835
0.07,8.53,0.001,0.175,0.824
0.07,8.54,0.0,0.172,0.828
0.07,8.55,0.0,0.214,0.786
0.07,8.56,0.0,0.176,0.824
0.07,8.57,0.0,0.174,0.826
0.07,8.58,0.0,0.176,0.824
0.07,8.59,0.0,0.177,0.823
0.07,8.6,0.0,0.18,0.82
0.07,8.61,0.0,0.19,0.81
0.07,8.62,0.0,0.191,0.809
0.07,8.63,0.0,0.168,0.832
0.07,8.64,0.0,0.18,0.82
0.07,8.65,0.0,0.172,0.828
0.07,8.66,0.0,0.176,0.824
0.07,8.67,0.0,0.179,0.821
0.07,8.68,0.0,0.178,0.822
0.07,8.69,0.0,0.18,0.82
0.07,8.7,0.0,0.189,0.811
0.07,8.71,0.0,0.198,0.802
0.07,8.72,0.0,0.179,0.821
0.07,8.73,0.0,0.179,0.821
0.07,8.74,0.0,0.189,0.811
0.07,8.75,0.0,0.172,0.828
0.07,8.76,0.0,0.186,0.814
0.07,8.77,0.0,0.172,0.828
0.07,8.78,0.0,0.199,0.801
0.07,8.79,0.0,0.175,0.825
0.07,8.8,0.0,0.171,0.829
0.07,8.81,0.0,0.167,0.833
0.07,8.82,0.0,0.181,0.819
0.07,8.83,0.0,0.177,0.823
0.07,8.84,0.0,0.181,0.819
0.07,8.85,0.0,0.179,0.821
0.07,8.86,0.0,0.172,0.828
0.07,8.87,0.0,0.189,0.811
0.07,8.88,0.0,0.171,0.829
0.07,8.89,0.0,0.187,0.813
0.07,8.9,0.0,0.197,0.803
0.07,8.91,0.0,0.205,0.795
0.07,8.92,0.0,0.163,0.837
0.07,8.93,0.0,0.195,0.805
0.07,8.94,0.0,0.172,0.828
0.07,8.95,0.0,0.182,0.818
0.07,8.96,0.0,0.187,0.813
0.07,8.97,0.0,0.212,0.788
0.07,8.98,0.0,0.182,0.818
0.07,8.99,0.0,0.185,0.815
0.07,9.0,0.0,0.183,0.817
0.07,9.01,0.0,0.207,0.793
0.07,9.02,0.0,0.185,0.815
0.07,9.03,0.0,0.188,0.812
0.07,9.04,0.0,0.184,0.816
0.07,9.05,0.0,0.171,0.829
0.07,9.06,0.0,0.178,0.822
0.07,9.07,0.0,0.164,0.836
0.07,9.08,0.0,0.176,0.824
0.07,9.09,0.0,0.185,0.815
0.07,9.1,0.0,0.173,0.827
0.07,9.11,0.0,0.204,0.796
0.07,9.12,0.0,0.17,0.83
0.07,9.13,0.0,0.168,0.832
0.07,9.14,0.0,0.183,0.817
0.07,9.15,0.0,0.161,0.839
0.07,9.16,0.0,0.167,0.833
0.07,9.17,0.0,0.173,0.827
0.07,9.18,0.0,0.175,0.825
0.07,9.19,0.0,0.162,0.838
0.07,9.2,0.0,0.183,0.817
0.07,9.21,0.0,0.171,0.829
0.07,9.22,0.0,0.173,0.827
0.07,9.23,0.0,0.175,0.825
0.07,9.24,0.0,0.176,0.824
0.07,9.25,0.0,0.187,0.813
0.07,9.26,0.0,0.181,0.819
0.07,9.27,0.0,0.17,0.83
0.07,9.28,0.0,0.189,0.811
0.07,9.29,0.0,0.171,0.829
0.07,9.3,0.0,0.174,0.826
0.07,9.31,0.0,0.199,0.801
0.07,9.32,0.0,0.206,0.794
0.07,9.33,0.0,0.186,0.814
0.07,9.34,0.0,0.177,0.823
0.07,9.35,0.0,0.177,0.823
0.07,9.36,0.0,0.158,0.842
0.07,9.37,0.0,0.183,0.817
0.07,9.38,0.0,0.189,0.811
0.07,9.39,0.0,0.18,0.82
0.07,9.4,0.0,0.198,0.802
0.07,9.41,0.0,0.179,0.821
0.07,9.42,0.0,0.174,0.826
0.07,9.43,0.0,0.182,0.818
0.07,9.44,0.0,0.161,0.839
0.07,9.45,0.0,0.186,0.814
0.07,9.46,0.0,0.197,0.803
0.07,9.47,0.0,0.187,0.813
0.07,9.48,0.0,0.177,0.823
0.07,9.49,0.0,0.177,0.823
0.07,9.5,0.0,0.181,0.819
0.07,9.51,0.0,0.177,0.823
0.07,9.52,0.0,0.178,0.822
0.07,9.53,0.0,0.167,0.833
0.07,9.54,0.0,0.181,0.819
0.07,9.55,0.0,0.169,0.831
0.07,9.56,0.0,0.182,0.818
0.07,9.57,0.0,0.18,0.82
0.07,9.58,0.0,0.168,0.832
0.07,9.59,0.0,0.168,0.832
0.07,9.6,0.0,0.187,0.813
0.07,9.61,0.0,0.183,0.817
0.07,9.62,0.0,0.175,0.825
0.07,9.63,0.0,0.169,0.831
0.07,9.64,0.0,0.167,0.833
0.07,9.65,0.0,0.189,0.811
0.07,9.66,0.0,0.208,0.792
0.07,9.67,0.0,0.178,0.822
0.07,9.68,0.0,0.189,0.811
0.07,9.69,0.0,0.18,0.82
0.07,9.7,0.0,0.181,0.819
0.07,9.71,0.0,0.168,0.832
0.07,9.72,0.0,0.164,0.836
0.07,9.73,0.0,0.181,0.819
0.07,9.74,0.0,0.178,0.822
0.07,9.75,0.0,0.173,0.827
0.07,9.76,0.0,0.177,0.823
0.07,9.77,0.0,0.16,0.84
0.07,9.78,0.0,0.174,0.826
0.07,9.79,0.0,0.189,0.811
0.07,9.8,0.0,0.187,0.813
0.07,9.81,0.0,0.187,0.813
0.07,9.82,0.0,0.185,0.815
0.07,9.83,0.0,0.185,0.815
0.07,9.84,0.0,0.193,0.807
0.07,9.85,0.0,0.18,0.82
0.07,9.86,0.0,0.193,0.807
0.07,9.87,0.0,0.184,0.816
0.07,9.88,0.0,0.204,0.796
0.07,9.89,0.0,0.175,0.825
0.07,9.9,0.0,0.172,0.828
0.07,9.91,0.0,0.178,0.822
0.07,9.92,0.0,0.169,0.831
0.07,9.93,0.0,0.182,0.818
0.07,9.94,0.0,0.181,0.819
0.07,9.95,0.0,0.175,0.825
0.07,9.96,0.0,0.168,0.832
0.07,9.97,0.0,0.167,0.833
0.07,9.98,0.0,0.208,0.792
0.07,9.99,0.0,0.161,0.839
0.07,10.0,0.0,0.181,0.819
0.08,0.01,0.94,0.003,0.057
0.08,0.02,0.898,0.003,0.099
0.08,0.03,0.862,0.002,0.136
0.08,0.04,0.821,0.001,0.178
0.08,0.05,0.782,0.006,0.212
0.08,0.06,0.763,0.017,0.22
0.08,0.07,0.742,0.008,0.25
0.08,0.08,0.689,0.013,0.298
0.08,0.09,0.657,0.009,0.334
0.08,0.1,0.651,0.008,0.341
0.08,0.11,0.63,0.01,0.36
0.08,0.12,0.583,0.01,0.407
0.08,0.13,0.579,0.015,0.406
0.08,0.14,0.579,0.016,0.405
0.08,0.15,0.557,0.019,0.424
0.08,0.16,0.532,0.02,0.448
0.08,0.17,0.496,0.016,0.488
0.08,0.18,0.511,0.017,0.472
0.08,0.19,0.484,0.032,0.484
0.08,0.2,0.467,0.029,0.504
0.08,0.21,0.427,0.026,0.547
0.08,0.22,0.453,0.018,0.529
0.08,0.23,0.481,0.028,0.491
0.08,0.24,0.41,0.021,0.569
0.08,0.25,0.417,0.03,0.553
0.08,0.26,0.396,0.03,0.574
0.08,0.27,0.396,0.036,0.568
0.08,0.28,0.37,0.039,0.591
0.08,0.29,0.37,0.037,0.593
0.08,0.3,0.377,0.023,0.6
0.08,0.31,0.347,0.038,0.615
0.08,0.32,0.343,0.043,0.614
0.08,0.33,0.337,0.042,0.621
0.08,0.34,0.332,0.037,0.631
0.08,0.35,0.329,0.041,0.63
0.08,0.36,0.355,0.042,0.603
0.08,0.37,0.319,0.046,0.635
0.08,0.38,0.294,0.04,0.666
0.08,0.39,0.289,0.045,0.666
0.08,0.4,0.295,0.043,0.662
0.08,0.41,0.325,0.052,0.623
0.08,0.42,0.285,0.034,0.681
0.08,0.43,0.291,0.055,0.654
0.08,0.44,0.26,0.059,0.681
0.08,0.45,0.269,0.048,0.683
0.08,0.46,0.232,0.057,0.711
0.08,0.47,0.245,0.056,0.699
0.08,0.48,0.251,0.063,0.686
0.08,0.49,0.24,0.052,0.708
0.08,0.5,0.245,0.066,0.689
0.08,0.51,0.23,0.064,0.706
0.08,0.52,0.246,0.066,0.688
0.08,0.53,0.235,0.073,0.692
0.08,0.54,0.245,0.056,0.699
0.08,0.55,0.219,0.079,0.702
0.08,0.56,0.196,0.067,0.737
0.08,0.57,0.215,0.065,0.72
0.08,0.58,0.211,0.078,0.711
0.08,0.59,0.188,0.082,0.73
0.08,0.6,0.216,0.08,0.704
0.08,0.61,0.169,0.067,0.764
0.08,0.62,0.186,0.088,0.726
0.08,0.63,0.166,0.094,0.74
0.08,0.64,0.18,0.086,0.734
0.08,0.65,0.162,0.08,0.758
0.08,0.66,0.171,0.092,0.737
0.08,0.67,0.175,0.086,0.739
0.08,0.68,0.154,0.082,0.764
0.08,0.69,0.157,0.092,0.751
0.08,0.7,0.178,0.075,0.747
0.08,0.71,0.152,0.076,0.772
0.08,0.72,0.152,0.08,0.768
0.08,0.73,0.165,0.091,0.744
0.08,0.74,0.154,0.088,0.758
0.08,0.75,0.142,0.082,0.776
0.08,0.76,0.151,0.094,0.755
0.08,0.77,0.138,0.078,0.784
0.08,0.78,0.151,0.093,0.756
0.08,0.79,0.142,0.105,0.753
0.08,0.8,0.115,0.087,0.798
0.08,0.81,0.152,0.097,0.751
0.08,0.82,0.125,0.096,0.779
0.08,0.83,0.124,0.097,0.779
0.08,0.84,0.131,0.111,0.758
0.08,0.85,0.142,0.1,0.758
0.08,0.86,0.121,0.097,0.782
0.08,0.87,0.134,0.111,0.755
0.08,0.88,0.127,0.096,0.777
0.08,0.89,0.105,0.099,0.796
0.08,0.9,0.126,0.103,0.771
0.08,0.91,0.121,0.1,0.779
0.08,0.92,0.123,0.111,0.766
0.08,0.93,0.114,0.09,0.796
0.08,0.94,0.117,0.107,0.776
0.08,0.95,0.111,0.113,0.776
0.08,0.96,0.11,0.109,0.781
0.08,0.97,0.095,0.104,0.801
0.08,0.98,0.113,0.09,0.797
0.08,0.99,0.078,0.114,0.808
0.08,1.0,0.097,0.117,0.786
0.08,1.01,0.091,0.117,0.792
0.08,1.02,0.086,0.096,0.818
0.08,1.03,0.113,0.134,0.753
0.08,1.04,0.092,0.13,0.778
0.08,1.05,0.113,0.123,0.764
0.08,1.06,0.098,0.109,0.793
0.08,1.07,0.1,0.095,0.805
0.08,1.08,0.073,0.126,0.801
0.08,1.09,0.09,0.117,0.793
0.08,1.1,0.079,0.119,0.802
0.08,1.11,0.085,0.133,0.782
0.08,1.12,0.1,0.116,0.784
0.08,1.13,0.079,0.13,0.791
0.08,1.14,0.079,0.119,0.802
0.08,1.15,0.072,0.121,0.807
0.08,1.16,0.073,0.13,0.797
0.08,1.17,0.076,0.129,0.795
0.08,1.18,0.085,0.137,0.778
0.08,1.19,0.071,0.139,0.79
0.08,1.2,0.075,0.127,0.798
0.08,1.21,0.078,0.142,0.78
0.08,1.22,0.067,0.127,0.806
0.08,1.23,0.081,0.115,0.804
0.08,1.24,0.083,0.128,0.789
0.08,1.25,0.075,0.143,0.782
0.08,1.26,0.074,0.17,0.756
0.08,1.27,0.071,0.131,0.798
0.08,1.28,0.065,0.101,0.834
0.08,1.29,0.079,0.132,0.789
0.08,1.3,0.06,0.119,0.821
0.08,1.31,0.068,0.14,0.792
0.08,1.32,0.054,0.127,0.819
0.08,1.33,0.069,0.134,0.797
0.08,1.34,0.046,0.136,0.818
0.08,1.35,0.071,0.128,0.801
0.08,1.36,0.071,0.151,0.778
0.08,1.37,0.069,0.139,0.792
0.08,1.38,0.058,0.123,0.819
0.08,1.39,0.079,0.147,0.774
0.08,1.4,0.06,0.15,0.79
0.08,1.41,0.042,0.139,0.819
0.08,1.42,0.059,0.124,0.817
0.08,1.43,0.053,0.148,0.799
0.08,1.44,0.045,0.157,0.798
0.08,1.45,0.053,0.159,0.788
0.08,1.46,0.073,0.164,0.763
0.08,1.47,0.041,0.147,0.812
0.08,1.48,0.044,0.148,0.808
0.08,1.49,0.06,0.15,0.79
0.08,1.5,0.055,0.155,0.79
0.08,1.51,0.053,0.139,0.808
0.08,1.52,0.053,0.16,0.787
0.08,1.53,0.049,0.136,0.815
0.08,1.54,0.051,0.15,0.799
0.08,1.55,0.048,0.158,0.794
0.08,1.56,0.057,0.158,0.785
0.08,1.57,0.043,0.158,0.799
0.08,1.58,0.041,0.15,0.809
0.08,1.59,0.04,0.142,0.818
0.08,1.6,0.04,0.16,0.8
0.08,1.61,0.044,0.157,0.799
0.08,1.62,0.049,0.156,0.795
0.08,1.63,0.04,0.16,0.8
0.08,1.64,0.046,0.154,0.8
0.08,1.65,0.033,0.147,0.82
0.08,1.66,0.038,0.157,0.805
0.08,1.67,0.047,0.162,0.791
0.08,1.68,0.038,0.163,0.799
0.08,1.69,0.046,0.142,0.812
0.08,1.7,0.033,0.153,0.814
0.08,1.71,0.044,0.143,0.813
0.08,1.72,0.044,0.157,0.799
0.08,1.73,0.038,0.178,0.784
0.08,1.74,0.037,0.163,0.8
0.08,1.75,0.031,0.159,0.81
0.08,1.76,0.025,0.123,0.852
0.08,1.77,0.031,0.162,0.807
0.08,1.78,0.04,0.162,0.798
0.08,1.79,0.034,0.146,0.82
0.08,1.8,0.041,0.175,0.784
0.08,1.81,0.028,0.145,0.827
0.08,1.82,0.037,0.167,0.796
0.08,1.83,0.036,0.16,0.804
0.08,1.84,0.032,0.178,0.79
0.08,1.85,0.036,0.165,0.799
0.08,1.86,0.029,0.157,0.814
0.08,1.87,0.03,0.174,0.796
0.08,1.88,0.028,0.156,0.816
0.08,1.89,0.024,0.162,0.814
0.08,1.9,0.027,0.163,0.81
0.08,1.91,0.032,0.156,0.812
0.08,1.92,0.028,0.157,0.815
0.08,1.93,0.024,0.178,0.798
0.08,1.94,0.023,0.155,0.822
0.08,1.95,0.021,0.164,0.815
0.08,1.96,0.025,0.186,0.789
0.08,1.97,0.024,0.164,0.812
0.08,1.98,0.03,0.174,0.796
0.08,1.99,0.018,0.171,0.811
0.08,2.0,0.019,0.165,0.816
0.08,2.01,0.028,0.142,0.83
0.08,2.02,0.022,0.152,0.826
0.08,2.03,0.024,0.179,0.797
0.08,2.04,0.02,0.168,0.812
0.08,2.05,0.032,0.178,0.79
0.08,2.06,0.033,0.178,0.789
0.08,2.07,0.021,0.166,0.813
0.08,2.08,0.022,0.166,0.812
0.08,2.09,0.027,0.183,0.79
0.08,2.1,0.02,0.172,0.808
0.08,2.11,0.022,0.188,0.79
0.08,2.12,0.024,0.172,0.804
0.08,2.13,0.018,0.177,0.805
0.08,2.14,0.013,0.171,0.816
0.08,2.15,0.02,0.193,0.787
0.08,2.16,0.028,0.156,0.816
0.08,2.17,0.027,0.178,0.795
0.08,2.18,0.018,0.183,0.799
0.08,2.19,0.014,0.17,0.816
0.08,2.2,0.018,0.172,0.81
0.08,2.21,0.016,0.16,0.824
0.08,2.22,0.016,0.166,0.818
0.08,2.23,0.019,0.18,0.801
0.08,2.24,0.021,0.171,0.808
0.08,2.25,0.027,0.147,0.826
0.08,2.26,0.017,0.143,0.84
0.08,2.27,0.021,0.173,0.806
0.08,2.28,0.018,0.198,0.784
0.08,2.29,0.015,0.173,0.812
0.08,2.3,0.012,0.171,0.817
0.08,2.31,0.021,0.159,0.82
0.08,2.32,0.018,0.183,0.799
0.08,2.33,0.015,0.197,0.788
0.08,2.34,0.012,0.182,0.806
0.08,2.35,0.019,0.174,0.807
0.08,2.36,0.015,0.19,0.795
0.08,2.37,0.015,0.17,0.815
0.08,2.38,0.012,0.166,0.822
0.08,2.39,0.015,0.187,0.798
0.08,2.4,0.017,0.163,0.82
0.08,2.41,0.017,0.187,0.796
0.08,2.42,0.015,0.158,0.827
0.08,2.43,0.015,0.182,0.803
0.08,2.44,0.016,0.173,0.811
0.08,2.45,0.015,0.195,0.79
0.08,2.46,0.02,0.187,0.793
0.08,2.47,0.016,0.15,0.834
0.08,2.48,0.023,0.174,0.803
0.08,2.49,0.019,0.169,0.812
0.08,2.5,0.006,0.174,0.82
0.08,2.51,0.016,0.212,0.772
0.08,2.52,0.011,0.19,0.799
0.08,2.53,0.013,0.167,0.82
0.08,2.54,0.01,0.203,0.787
0.08,2.55,0.007,0.179,0.814
0.08,2.56,0.01,0.177,0.813
0.08,2.57,0.007,0.168,0.825
0.08,2.58,0.006,0.169,0.825
0.08,2.59,0.013,0.188,0.799
0.08,2.6,0.011,0.17,0.819
0.08,2.61,0.006,0.165,0.829
0.08,2.62,0.01,0.18,0.81
0.08,2.63,0.011,0.195,0.794
0.08,2.64,0.018,0.184,0.798
0.08,2.65,0.01,0.188,0.802
0.08,2.66,0.009,0.176,0.815
0.08,2.67,0.008,0.179,0.813
0.08,2.68,0.005,0.188,0.807
0.08,2.69,0.011,0.183,0.806
0.08,2.7,0.007,0.177,0.816
0.08,2.71,0.007,0.175,0.818
0.08,2.72,0.007,0.18,0.813
0.08,2.73,0.009,0.173,0.818
0.08,2.74,0.008,0.169,0.823
0.08,2.75,0.012,0.195,0.793
0.08,2.76,0.009,0.197,0.794
0.08,2.77,0.007,0.178,0.815
0.08,2.78,0.009,0.198,0.793
0.08,2.79,0.009,0.176,0.815
0.08,2.8,0.011,0.171,0.818
0.08,2.81,0.01,0.176,0.814
0.08,2.82,0.011,0.186,0.803
0.08,2.83,0.009,0.182,0.809
0.08,2.84,0.009,0.18,0.811
0.08,2.85,0.004,0.194,0.802
0.08,2.86,0.008,0.164,0.828
0.08,2.87,0.009,0.182,0.809
0.08,2.88,0.009,0.183,0.808
0.08,2.89,0.01,0.192,0.798
0.08,2.9,0.004,0.16,0.836
0.08,2.91,0.01,0.188,0.802
0.08,2.92,0.008,0.19,0.802
0.08,2.93,0.004,0.187,0.809
0.08,2.94,0.01,0.191,0.799
0.08,2.95,0.007,0.19,0.803
0.08,2.96,0.007,0.19,0.803
0.08,2.97,0.009,0.186,0.805
0.08,2.98,0.004,0.202,0.794
0.08,2.99,0.011,0.176,0.813
0.08,3.0,0.002,0.195,0.803
0.08,3.01,0.006,0.182,0.812
0.08,3.02,0.009,0.159,0.832
0.08,3.03,0.008,0.17,0.822
0.08,3.04,0.008,0.154,0.838
0.08,3.05,0.006,0.209,0.785
0.08,3.06,0.008,0.189,0.803
0.08,3.07,0.003,0.172,0.825
0.08,3.08,0.009,0.192,0.799
0.08,3.09,0.005,0.175,0.82
0.08,3.1,0.005,0.192,0.803
0.08,3.11,0.006,0.196,0.798
0.08,3.12,0.006,0.185,0.809
0.08,3.13,0.005,0.174,0.821
0.08,3.14,0.003,0.196,0.801
0.08,3.15,0.005,0.186,0.809
0.08,3.16,0.004,0.179,0.817
0.08,3.17,0.003,0.181,0.816
0.08,3.18,0.005,0.204,0.791
0.08,3.19,0.002,0.185,0.813
0.08,3.2,0.009,0.205,0.786
0.08,3.21,0.005,0.204,0.791
0.08,3.22,0.008,0.184,0.808
0.08,3.23,0.009,0.19,0.801
0.08,3.24,0.006,0.189,0.805
0.08,3.25,0.002,0.186,0.812
0.08,3.26,0.004,0.18,0.816
0.08,3.27,0.007,0.195,0.798
0.08,3.28,0.011,0.197,0.792
0.08,3.29,0.003,0.182,0.815
0.08,3.3,0.004,0.189,0.807
0.08,3.31,0.005,0.158,0.837
0.08,3.32,0.004,0.188,0.808
0.08,3.33,0.004,0.212,0.784
0.08,3.34,0.004,0.186,0.81
0.08,3.35,0.003,0.18,0.817
0.08,3.36,0.003,0.181,0.816
0.08,3.37,0.005,0.199,0.796
0.08,3.38,0.002,0.185,0.813
0.08,3.39,0.003,0.196,0.801
0.08,3.4,0.006,0.174,0.82
0.08,3.41,0.005,0.188,0.807
0.08,3.42,0.005,0.214,0.781
0.08,3.43,0.003,0.198,0.799
0.08,3.44,0.003,0.17,0.827
0.08,3.45,0.001,0.184,0.815
0.08,3.46,0.005,0.184,0.811
0.08,3.47,0.005,0.178,0.817
0.08,3.48,0.003,0.193,0.804
0.08,3.49,0.003,0.177,0.82
0.08,3.5,0.003,0.211,0.786
0.08,3.51,0.004,0.18,0.816
0.08,3.52,0.002,0.178,0.82
0.08,3.53,0.005,0.185,0.81
0.08,3.54,0.004,0.218,0.778
0.08,3.55,0.002,0.191,0.807
0.08,3.56,0.004,0.203,0.793
0.08,3.57,0.002,0.207,0.791
0.08,3.58,0.004,0.193,0.803
0.08,3.59,0.004,0.175,0.821
0.08,3.6,0.003,0.201,0.796
0.08,3.61,0.003,0.185,0.812
0.08,3.62,0.001,0.172,0.827
0.08,3.63,0.002,0.185,0.813
0.08,3.64,0.003,0.198,0.799
0.08,3.65,0.002,0.188,0.81
0.08,3.66,0.003,0.188,0.809
0.08,3.67,0.001,0.18,0.819
0.08,3.68,0.002,0.185,0.813
0.08,3.69,0.002,0.184,0.814
0.08,3.7,0.001,0.191,0.808
0.08,3.71,0.007,0.176,0.817
0.08,3.72,0.004,0.198,0.798
0.08,3.73,0.0,0.153,0.847
0.08,3.74,0.005,0.198,0.797
0.08,3.75,0.007,0.182,0.811
0.08,3.76,0.003,0.183,0.814
0.08,3.77,0.004,0.191,0.805
0.08,3.78,0.002,0.173,0.825
0.08,3.79,0.001,0.181,0.818
0.08,3.8,0.002,0.185,0.813
0.08,3.81,0.001,0.196,0.803
0.08,3.82,0.002,0.197,0.801
0.08,3.83,0.0,0.157,0.843
0.08,3.84,0.002,0.198,0.8
0.08,3.85,0.003,0.199,0.798
0.08,3.86,0.001,0.194,0.805
0.08,3.87,0.002,0.156,0.842
0.08,3.88,0.001,0.19,0.809
0.08,3.89,0.002,0.189,0.809
0.08,3.9,0.002,0.174,0.824
0.08,3.91,0.002,0.172,0.826
0.08,3.92,0.002,0.203,0.795
0.08,3.93,0.002,0.173,0.825
0.08,3.94,0.002,0.162,0.836
0.08,3.95,0.001,0.186,0.813
0.08,3.96,0.0,0.183,0.817
0.08,3.97,0.001,0.196,0.803
0.08,3.98,0.005,0.201,0.794
0.08,3.99,0.002,0.208,0.79
0.08,4.0,0.0,0.194,0.806
0.08,4.01,0.001,0.218,0.781
0.08,4.02,0.002,0.173,0.825
0.08,4.03,0.002,0.186,0.812
0.08,4.04,0.003,0.182,0.815
0.08,4.05,0.001,0.209,0.79
0.08,4.06,0.002,0.167,0.831
0.08,4.07,0.001,0.185,0.814
0.08,4.08,0.0,0.182,0.818
0.08,4.09,0.0,0.179,0.821
0.08,4.1,0.001,0.174,0.825
0.08,4.11,0.0,0.167,0.833
0.08,4.12,0.002,0.199,0.799
0.08,4.13,0.003,0.188,0.809
0.08,4.14,0.001,0.189,0.81
0.08,4.15,0.001,0.197,0.802
0.08,4.16,0.002,0.194,0.804
0.08,4.17,0.001,0.209,0.79
0.08,4.18,0.0,0.193,0.807
0.08,4.19,0.002,0.176,0.822
0.08,4.2,0.001,0.191,0.808
0.08,4.21,0.001,0.173,0.826
0.08,4.22,0.002,0.206,0.792
0.08,4.23,0.0,0.175,0.825
0.08,4.24,0.0,0.189,0.811
0.08,4.25,0.0,0.187,0.813
0.08,4.26,0.001,0.159,0.84
0.08,4.27,0.002,0.194,0.804
0.08,4.28,0.001,0.173,0.826
0.08,4.29,0.0,0.176,0.824
0.08,4.3,0.001,0.199,0.8
0.08,4.31,0.002,0.189,0.809
0.08,4.32,0.002,0.208,0.79
0.08,4.33,0.0,0.197,0.803
0.08,4.34,0.001,0.201,0.798
0.08,4.35,0.002,0.195,0.803
0.08,4.36,0.001,0.199,0.8
0.08,4.37,0.003,0.192,0.805
0.08,4.38,0.004,0.182,0.814
0.08,4.39,0.002,0.195,0.803
0.08,4.4,0.001,0.212,0.787
0.08,4.41,0.0,0.202,0.798
0.08,4.42,0.002,0.17,0.828
0.08,4.43,0.0,0.192,0.808
0.08,4.44,0.003,0.19,0.807
0.08,4.45,0.001,0.19,0.809
0.08,4.46,0.0,0.193,0.807
0.08,4.47,0.003,0.205,0.792
0.08,4.48,0.002,0.187,0.811
0.08,4.49,0.0,0.198,0.802
0.08,4.5,0.002,0.192,0.806
0.08,4.51,0.0,0.199,0.801
0.08,4.52,0.0,0.191,0.809
0.08,4.53,0.0,0.198,0.802
0.08,4.54,0.001,0.178,0.821
0.08,4.55,0.001,0.199,0.8
0.08,4.56,0.001,0.197,0.802
0.08,4.57,0.002,0.18,0.818
0.08,4.58,0.0,0.197,0.803
0.08,4.59,0.001,0.19,0.809
0.08,4.6,0.001,0.19,0.809
0.08,4.61,0.0,0.177,0.823
0.08,4.62,0.001,0.209,0.79
0.08,4.63,0.0,0.196,0.804
0.08,4.64,0.0,0.181,0.819
0.08,4.65,0.0,0.167,0.833
0.08,4.66,0.002,0.174,0.824
0.08,4.67,0.0,0.18,0.82
0.08,4.68,0.0,0.192,0.808
0.08,4.69,0.004,0.174,0.822
